Episode,Performance,Distractor,Correct
0,1.0,White,V5O2
1,0.0,White,V5O2
2,1.0,White,V5O2
3,1.0,White,V5O2
4,0.7295081967213115,White,V5O2
5,0.0,White,V5O2
6,0.5,White,V5O2
7,0.4428822495606327,White,V5O2
8,1.0,White,V5O2
9,1.0,White,V5O2
10,1.0,White,V5O2
11,1.0,White,V5O2
12,1.0,White,V5O2
13,0.0,White,V5O2
14,0.6850746268656717,White,V5O2
15,0.0,White,V5O2
16,0.0,White,V5O2
17,1.0,White,V5O2
18,0.8926174496644296,White,V5O2
19,1.0,White,V5O2
20,0.0,White,V5O2
21,1.0,White,V5O2
22,0.9968652037617555,White,V5O2
23,0.6487394957983194,White,V5O2
24,0.0,White,V5O2
25,1.0,White,V5O2
26,1.0,White,V5O2
27,1.0,White,V5O2
28,0.0,White,V5O2
29,1.0,White,V5O2
30,0.0,White,V5O2
31,0.9372056514913658,White,V5O2
32,0.0,White,V5O2
33,1.0,White,V5O2
34,1.0,White,V5O2
35,0.0,White,V5O2
36,0.9527896995708155,White,V5O2
37,0.0,White,V5O2
38,0.0,White,V5O2
39,0.0,White,V5O2
40,1.0,White,V5O2
41,1.0,White,V5O2
42,0.0,White,V5O2
43,1.0,White,V5O2
44,0.0,White,V5O2
45,1.0,White,V5O2
46,1.0,White,V5O2
47,1.0,White,V5O2
48,1.0,White,V5O2
49,1.0,White,V5O2
50,1.0,White,V5O2
51,1.0,White,V5O2
52,0.0,White,V5O2
53,0.0,White,V5O2
54,1.0,White,V5O2
55,0.0,White,V5O2
56,0.0,White,V5O2
57,1.0,White,V5O2
58,1.0,White,V5O2
59,0.0,White,V5O2
60,1.0,White,V5O2
61,1.0,White,V5O2
62,1.0,White,V5O2
63,1.0,White,V5O2
64,0.0,White,V5O2
65,0.0,White,V5O2
66,0.0,White,V5O2
67,0.0,White,V5O2
68,0.0,White,V5O2
69,0.0,White,V5O2
70,0.0,White,V5O2
71,1.0,White,V5O2
72,0.0,White,V5O2
73,1.0,White,V5O2
74,1.0,White,V5O2
75,1.0,White,V5O2
76,1.0,White,V5O2
77,1.0,White,V5O2
78,0.0,White,V5O2
79,0.0,White,V5O2
80,1.0,White,V5O2
81,1.0,White,V5O2
82,0.0,White,V5O2
83,0.0,White,V5O2
84,1.0,White,V5O2
