Episode,Performance,Distractor,Correct
0,1.0,White,V5O2
1,0.0,White,V5O2
2,0.0,White,V5O2
3,1.0,White,V5O2
4,0.028532608695652172,White,V5O2
5,0.0,White,V5O2
6,0.0,White,V5O2
7,0.9960474308300395,White,V5O2
8,0.13761467889908258,White,V5O2
9,0.0,White,V5O2
10,1.0,White,V5O2
11,0.0,White,V5O2
12,1.0,White,V5O2
13,0.0,White,V5O2
14,1.0,White,V5O2
15,0.0,White,V5O2
16,0.0,White,V5O2
17,1.0,White,V5O2
18,0.0,White,V5O2
19,1.0,White,V5O2
20,0.0,White,V5O2
21,0.980225988700565,White,V5O2
22,1.0,White,V5O2
23,0.0,White,V5O2
24,0.0,White,V5O2
25,0.0,White,V5O2
26,0.6589403973509934,White,V5O2
27,0.0,White,V5O2
28,1.0,White,V5O2
29,1.0,White,V5O2
30,1.0,White,V5O2
31,0.8733333333333333,White,V5O2
32,0.0,White,V5O2
33,1.0,White,V5O2
34,0.0,White,V5O2
35,1.0,White,V5O2
36,0.0,White,V5O2
37,0.31654676258992803,White,V5O2
38,0.0,White,V5O2
39,0.0,White,V5O2
40,1.0,White,V5O2
41,0.9168591224018475,White,V5O2
42,1.0,White,V5O2
43,1.0,White,V5O2
44,0.0,White,V5O2
45,1.0,White,V5O2
46,0.0,White,V5O2
47,0.0,White,V5O2
48,0.0,White,V5O2
49,0.0,White,V5O2
50,0.1712962962962963,White,V5O2
51,0.7759562841530054,White,V5O2
52,0.0,White,V5O2
53,0.0,White,V5O2
54,0.0,White,V5O2
55,0.0,White,V5O2
56,1.0,White,V5O2
57,0.0,White,V5O2
58,0.0,White,V5O2
59,0.0,White,V5O2
60,1.0,White,V5O2
61,0.0,White,V5O2
62,0.0,White,V5O2
63,0.019157088122605363,White,V5O2
64,0.0,White,V5O2
65,0.0,White,V5O2
66,0.0,White,V5O2
67,0.5,White,V5O2
68,0.0,White,V5O2
69,0.0,White,V5O2
70,0.96,White,V5O2
71,1.0,White,V5O2
72,0.0,White,V5O2
73,1.0,White,V5O2
74,0.0,White,V5O2
75,0.0,White,V5O2
76,0.9896193771626297,White,V5O2
77,1.0,White,V5O2
78,0.411543287327478,White,V5O2
79,0.0,White,V5O2
80,1.0,White,V5O2
81,1.0,White,V5O2
82,0.0,White,V5O2
83,1.0,White,V5O2
